arrival_time,input_tokens,output_tokens
422.004,615,242
422.492,2255,350
422.503,604,180
422.59,986,453
422.753,1399,168
423.896,819,3
424.499,1036,85
424.753,16632,273
426.249,1192,1
426.752,4288,321
428.254,4428,74
428.894,3771,354
429.144,6982,345
430.312,950,14
430.518,3961,349
431.943,1231,27
432.019,1549,360
432.442,1138,48
434.005,8824,352
434.525,3136,22
434.893,841,131
435.192,554,132
436.894,534,103
438.192,564,383
439.944,1805,28
440.312,819,3
440.489,5962,1190
441.766,942,154
442.421,7993,406
442.944,882,97
443.405,1131,26
443.467,4260,14
444.09,884,479
444.263,5088,96
444.51,381,72
444.762,3456,203
444.772,622,38
444.942,3580,14
444.965,888,28
445.046,3769,71
445.271,1081,28
445.466,411,75
445.547,965,26
445.812,1244,87
445.946,695,58
446.942,855,38
447.062,260,46
447.194,1147,26
447.266,260,55
447.311,962,116
447.311,1093,28
447.32,545,304
447.715,3757,137
447.941,1379,22
448.048,4077,381
448.06,3203,156
448.3,522,1
448.405,1236,62
448.459,903,74
448.472,412,77
449.466,1205,307
449.546,937,124
449.546,3786,104
449.617,1820,27
449.617,1129,26
449.691,964,78
449.81,465,195
450.263,1219,28
450.295,679,75
450.312,1421,81
450.312,1095,26
450.442,1042,164
450.945,1205,50
451.01,1433,66
451.56,263,62
451.761,3505,126
451.941,1080,26
452.017,3895,243
452.154,1310,191
452.154,1172,70
452.465,1480,113
452.69,689,56
452.695,418,42
452.715,9161,322
452.767,1265,28
452.834,258,32
452.944,1288,1
453.021,9157,317
453.024,956,30
453.062,1273,78
453.153,2046,1
453.763,1008,30
453.904,2963,323
453.969,1045,26
454.189,1449,118
454.438,931,69
454.692,1135,26
454.94,3366,96
454.941,687,95
454.994,199,53
455.117,2371,8
455.692,9164,311
455.836,412,99
455.904,490,229
456.06,576,70
456.297,950,160
456.407,3910,289
456.693,9857,115
456.812,695,51
456.834,981,148
457.011,990,193
457.047,2400,1457
457.155,3490,372
457.189,343,25
457.445,686,64
